id,country,code,wlnyw,lnndg,lnwi,GEO,Africa,Americas,Asia,Europe,Oceania
1,Albania,ALB,8.239983,1.436579,3.457398,Europe,0,0,0,1,0
2,Algeria,DZA,8.663796,1.897216,3.029032,Africa,1,0,0,0,0
3,Angola,AGO,8.358969,2.120858,2.711611,Africa,1,0,0,0,0
4,Argentina,ARG,9.476044,1.854612,2.78456,Americas,0,1,0,0,0
5,Armenia,ARM,7.673223,1.436579,2.914267,Asia,0,0,1,0,0
6,Australia,AUS,10.84707,1.848714,3.258004,Oceania,0,0,0,0,1
7,Austria,AUT,10.84707,1.670434,3.244481,Europe,0,0,0,1,0
8,Azerbaijan,AZE,7.843464,1.784321,3.141429,Asia,0,0,1,0,0
9,"Bahamas, The",BHS,10.54579,1.87717,3.254038,Americas,0,1,0,0,0
10,Bahrain,BHR,10.41877,2.210286,2.796574,Asia,0,0,1,0,0
11,Bangladesh,BGD,6.755739,1.94606,3.170047,Asia,0,0,1,0,0
12,Barbados,BRB,10.03354,1.698785,2.869562,Americas,0,1,0,0,0
13,Belarus,BLR,8.323037,1.609438,3.226903,Europe,0,0,0,1,0
14,Belgium,BEL,10.84707,1.609438,3.113071,Europe,0,0,0,1,0
15,Belize,BLZ,8.844236,2.24249,3.355586,Americas,0,1,0,0,0
16,Benin,BEN,7.223608,2.18765,3.200781,Africa,1,0,0,0,0
17,Bhutan,BTN,7.688704,2.037053,3.548421,Asia,0,0,1,0,0
18,Bolivia,BOL,7.925142,1.974456,2.884102,Americas,0,1,0,0,0
19,Bosnia and Herzegovina,BIH,8.350139,1.609438,3.022924,Europe,0,0,0,1,0
20,Botswana,BWA,9.059518,1.874203,3.22456,Africa,1,0,0,0,0
21,Brazil,BRA,9.520495,2.072488,2.907147,Americas,0,1,0,0,0
22,Brunei Darussalam,BRN,10.84707,2.06182,2.56169,Asia,0,0,1,0,0
23,Bulgaria,BGR,8.699514,1.481051,2.824677,Europe,0,0,0,1,0
